ID,Conversion_familia,Conversion_genero,Conversion_Tipo,Conversion_color
120874,Malvaceae,Sida,Árbol,Amarilla
109730,Euphorbiaceae,Acalypha,Árbol,Amarillenta
141153,Moraceae,Ficus,Árbol,Amarilla
133784,Anacardiaceae,Pseudosmodingium,Árbol,Blanca
112822,Euphorbiaceae,Euphorbia,Árbol,Roja
88550,Cactaceae,Opuntia,Arbusto,Amarilla
124019,Plantaginaceae,Galvezia,Arbusto,Azul
133326,Anacardiaceae,Malosma,Arbusto,Blanca
89660,Cactaceae,Opuntia,Árbol,Rosa
101598,Acanthaceae,Justicia,Árbol,Rosa
127059,Polygonaceae,Eriogonum,Árbol,Blanca
9613,Juncaceae,Juncus,Árbol,Café
136306,Zygophyllaceae,Viscainoa,Arbusto,Blanca
10729,Orchidaceae,Malaxis,Árbol,Verde
2935,Asparagaceae,Agave,Árbol,Amarillenta
87454,Cactaceae,Mammillaria,Arbusto,Magenta
110854,Euphorbiaceae,Croton,Árbol,Blanca
139639,Solanaceae,Physalis,Arbusto,Rosa
131784,Rubiaceae,Chomelia,Árbol,Blanca
110947,Euphorbiaceae,Croton,Árbol,Blanca
92574,Nyctaginaceae,Boerhavia,Arbusto,Amarilla
114206,Euphorbiaceae,Euphorbia,Arbusto,Amarilla
97674,Apocynaceae,Matelea,Árbol,Blanca
108384,Orobanchaceae,Lamourouxia,Arbusto,Amarilla
78634,Aizoaceae,Trianthema,Árbol,Rosa
